course_id,title,description,tags,category,subcategory,level,instructor,learning_outcomes,video_id,youtube_url
30,Learn Go,Comprehensive advanced course on Go. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"go,programming,advanced",Programming,Go,Advanced,Marco Rossi,"Master Go, Build real-world projects, Understand core concepts, Apply best practices",vvEBd7y7gIY,https://www.youtube.com/watch?v=vvEBd7y7gIY
31,Ruby Fundamentals,Comprehensive intermediate course on Ruby. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"ruby,programming,intermediate",Programming,Ruby,Intermediate,Carlos Mendez,"Master Ruby, Build real-world projects, Understand core concepts, Apply best practices",runN4gPJJzU,https://www.youtube.com/watch?v=runN4gPJJzU
32,Complete JavaScript Course,Comprehensive advanced course on JavaScript. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"javascript,programming,advanced",Programming,JavaScript,Advanced,Dr. John Smith,"Master JavaScript, Build real-world projects, Understand core concepts, Apply best practices",lkIFF4maKMU,https://www.youtube.com/watch?v=lkIFF4maKMU
33,Master R,Comprehensive beginner course on R. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"r,programming,beginner",Programming,R,Beginner,David Kim,"Master R, Build real-world projects, Understand core concepts, Apply best practices",FIrsOBy5k58,https://www.youtube.com/watch?v=FIrsOBy5k58
34,PHP Masterclass,Comprehensive beginner course on PHP. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"php,programming,beginner",Programming,PHP,Beginner,Thomas Brown,"Master PHP, Build real-world projects, Understand core concepts, Apply best practices",TEQk9gPV7_8,https://www.youtube.com/watch?v=TEQk9gPV7_8
35,Java Masterclass,Comprehensive intermediate course on Java. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"java,programming,intermediate",Programming,Java,Intermediate,Dr. Priya Sharma,"Master Java, Build real-world projects, Understand core concepts, Apply best practices",RRubcjpTkks,https://www.youtube.com/watch?v=RRubcjpTkks
36,Computer Vision for Intermediates,Comprehensive intermediate course on Computer Vision. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"computer-vision,data-science,intermediate",Data Science,Computer Vision,Intermediate,Dr. Wei Zhang,"Master Computer Vision, Build real-world projects, Understand core concepts, Apply best practices",h2FDq3agImI,https://www.youtube.com/watch?v=h2FDq3agImI
37,Advanced Data Analysis,Comprehensive advanced course on Data Analysis. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"data-analysis,data-science,advanced",Data Science,Data Analysis,Advanced,Dr. Wei Zhang,"Master Data Analysis, Build real-world projects, Understand core concepts, Apply best practices",yZvFH7B6gKI,https://www.youtube.com/watch?v=yZvFH7B6gKI
38,Learn Big Data,Comprehensive beginner course on Big Data. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"big-data,data-science,beginner",Data Science,Big Data,Beginner,Dr. Ahmed Hassan,"Master Big Data, Build real-world projects, Understand core concepts, Apply best practices",bAyrObl7TYE,https://www.youtube.com/watch?v=bAyrObl7TYE
39,Advanced Deep Learning,Comprehensive intermediate course on Deep Learning. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"deep-learning,data-science,intermediate",Data Science,Deep Learning,Intermediate,Dr. Sarah Johnson,"Master Deep Learning, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
40,Complete Computer Vision Course,Comprehensive beginner course on Computer Vision. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"computer-vision,data-science,beginner",Data Science,Computer Vision,Beginner,Rachel Green,"Master Computer Vision, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
41,Statistics Masterclass,Comprehensive advanced course on Statistics. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"statistics,data-science,advanced",Data Science,Statistics,Advanced,Rachel Green,"Master Statistics, Build real-world projects, Understand core concepts, Apply best practices",QiqZliDXCCg,https://www.youtube.com/watch?v=QiqZliDXCCg
42,Master AI,Comprehensive beginner course on AI. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"ai,data-science,beginner",Data Science,AI,Beginner,Carlos Mendez,"Master AI, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
43,Computer Vision Masterclass,Comprehensive advanced course on Computer Vision. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"computer-vision,data-science,advanced",Data Science,Computer Vision,Advanced,Dr. Sarah Johnson,"Master Computer Vision, Build real-world projects, Understand core concepts, Apply best practices",MbgErmmStWI,https://www.youtube.com/watch?v=MbgErmmStWI
44,Complete Big Data Course,Comprehensive intermediate course on Big Data. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"big-data,data-science,intermediate",Data Science,Big Data,Intermediate,Dr. Sarah Johnson,"Master Big Data, Build real-world projects, Understand core concepts, Apply best practices",bAyrObl7TYE,https://www.youtube.com/watch?v=bAyrObl7TYE
45,Big Data for Intermediates,Comprehensive intermediate course on Big Data. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"big-data,data-science,intermediate",Data Science,Big Data,Intermediate,Prof. Robert Taylor,"Master Big Data, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
46,Complete AI Course,Comprehensive advanced course on AI. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"ai,data-science,advanced",Data Science,AI,Advanced,Emily Rodriguez,"Master AI, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
47,Master NLP,Comprehensive beginner course on NLP. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"nlp,data-science,beginner",Data Science,NLP,Beginner,Dr. Wei Zhang,"Master NLP, Build real-world projects, Understand core concepts, Apply best practices",M5i7MnV4RFI,https://www.youtube.com/watch?v=M5i7MnV4RFI
48,Professional Deep Learning,Comprehensive advanced course on Deep Learning. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"deep-learning,data-science,advanced",Data Science,Deep Learning,Advanced,Dr. John Smith,"Master Deep Learning, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
49,Deep Learning Masterclass,Comprehensive intermediate course on Deep Learning. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"deep-learning,data-science,intermediate",Data Science,Deep Learning,Intermediate,Rachel Green,"Master Deep Learning, Build real-world projects, Understand core concepts, Apply best practices",pNmh2sQKpw4,https://www.youtube.com/watch?v=pNmh2sQKpw4
50,Data Visualization Fundamentals,Comprehensive beginner course on Data Visualization. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"data-visualization,data-science,beginner",Data Science,Data Visualization,Beginner,Dr. Wei Zhang,"Master Data Visualization, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
51,Statistics from Scratch,Comprehensive intermediate course on Statistics. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"statistics,data-science,intermediate",Data Science,Statistics,Intermediate,Carlos Mendez,"Master Statistics, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
52,Computer Vision Fundamentals,Comprehensive intermediate course on Computer Vision. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"computer-vision,data-science,intermediate",Data Science,Computer Vision,Intermediate,David Kim,"Master Computer Vision, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
53,AI for Beginners,Comprehensive beginner course on AI. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"ai,data-science,beginner",Data Science,AI,Beginner,Sophie Martin,"Master AI, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
54,Computer Vision Fundamentals,Comprehensive beginner course on Computer Vision. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"computer-vision,data-science,beginner",Data Science,Computer Vision,Beginner,Marco Rossi,"Master Computer Vision, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
55,Machine Learning Fundamentals,Comprehensive beginner course on Machine Learning. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"machine-learning,data-science,beginner",Data Science,Machine Learning,Beginner,Prof. Michael Chen,"Master Machine Learning, Build real-world projects, Understand core concepts, Apply best practices",ukzFI9rgwfU,https://www.youtube.com/watch?v=ukzFI9rgwfU
56,Complete Data Analysis Course,Comprehensive beginner course on Data Analysis. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"data-analysis,data-science,beginner",Data Science,Data Analysis,Beginner,Sophie Martin,"Master Data Analysis, Build real-world projects, Understand core concepts, Apply best practices",yZvFH7B6gKI,https://www.youtube.com/watch?v=yZvFH7B6gKI
57,Computer Vision from Scratch,Comprehensive beginner course on Computer Vision. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"computer-vision,data-science,beginner",Data Science,Computer Vision,Beginner,Jennifer Lee,"Master Computer Vision, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
58,AI Masterclass,Comprehensive advanced course on AI. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"ai,data-science,advanced",Data Science,AI,Advanced,Dr. Lisa Anderson,"Master AI, Build real-world projects, Understand core concepts, Apply best practices",h2FDq3agImI,https://www.youtube.com/watch?v=h2FDq3agImI
59,Learn NLP,Comprehensive beginner course on NLP. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"nlp,data-science,beginner",Data Science,NLP,Beginner,Dr. John Smith,"Master NLP, Build real-world projects, Understand core concepts, Apply best practices",bPpwZxasJo0,https://www.youtube.com/watch?v=bPpwZxasJo0
60,Learn AI,Comprehensive beginner course on AI. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"ai,data-science,beginner",Data Science,AI,Beginner,David Kim,"Master AI, Build real-world projects, Understand core concepts, Apply best practices",SSE4M0gcmvE,https://www.youtube.com/watch?v=SSE4M0gcmvE
61,Big Data from Scratch,Comprehensive intermediate course on Big Data. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"big-data,data-science,intermediate",Data Science,Big Data,Intermediate,Thomas Brown,"Master Big Data, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
62,Machine Learning for Advanceds,Comprehensive advanced course on Machine Learning. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"machine-learning,data-science,advanced",Data Science,Machine Learning,Advanced,David Kim,"Master Machine Learning, Build real-world projects, Understand core concepts, Apply best practices",7IgVGSaQPaw,https://www.youtube.com/watch?v=7IgVGSaQPaw
63,Complete Data Visualization Course,Comprehensive advanced course on Data Visualization. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"data-visualization,data-science,advanced",Data Science,Data Visualization,Advanced,Sophie Martin,"Master Data Visualization, Build real-world projects, Understand core concepts, Apply best practices",EGj54EdkfKU,https://www.youtube.com/watch?v=EGj54EdkfKU
64,Professional AI,Comprehensive beginner course on AI. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"ai,data-science,beginner",Data Science,AI,Beginner,Maria Garcia,"Master AI, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
65,Master NLP,Comprehensive beginner course on NLP. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"nlp,data-science,beginner",Data Science,NLP,Beginner,Thomas Brown,"Master NLP, Build real-world projects, Understand core concepts, Apply best practices",M5i7MnV4RFI,https://www.youtube.com/watch?v=M5i7MnV4RFI
66,Complete Statistics Course,Comprehensive intermediate course on Statistics. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"statistics,data-science,intermediate",Data Science,Statistics,Intermediate,Prof. Robert Taylor,"Master Statistics, Build real-world projects, Understand core concepts, Apply best practices",9R3X0JoCLyU,https://www.youtube.com/watch?v=9R3X0JoCLyU
67,NLP for Advanceds,Comprehensive advanced course on NLP. Learn essential skills and best practices in data science. Perfect for those looking to advance their career.,"nlp,data-science,advanced",Data Science,NLP,Advanced,David Kim,"Master NLP, Build real-world projects, Understand core concepts, Apply best practices",bPpwZxasJo0,https://www.youtube.com/watch?v=bPpwZxasJo0
68,WordPress Fundamentals,Comprehensive beginner course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,beginner",Web Development,WordPress,Beginner,Emily Rodriguez,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",OkQGYIMkGnE,https://www.youtube.com/watch?v=OkQGYIMkGnE
69,Angular from Scratch,Comprehensive intermediate course on Angular. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"angular,web-development,intermediate",Web Development,Angular,Intermediate,Dr. John Smith,"Master Angular, Build real-world projects, Understand core concepts, Apply best practices",cKwMW8bxS3I,https://www.youtube.com/watch?v=cKwMW8bxS3I
70,Master Node.js,Comprehensive intermediate course on Node.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"node.js,web-development,intermediate",Web Development,Node.js,Intermediate,Prof. Michael Chen,"Master Node.js, Build real-world projects, Understand core concepts, Apply best practices",xB3ZmUH6GqU,https://www.youtube.com/watch?v=xB3ZmUH6GqU
71,Advanced Next.js,Comprehensive beginner course on Next.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"next.js,web-development,beginner",Web Development,Next.js,Beginner,Dr. Priya Sharma,"Master Next.js, Build real-world projects, Understand core concepts, Apply best practices",Sklc_fQBmcs,https://www.youtube.com/watch?v=Sklc_fQBmcs
72,Professional HTML/CSS,Comprehensive intermediate course on HTML/CSS. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"html/css,web-development,intermediate",Web Development,HTML/CSS,Intermediate,Thomas Brown,"Master HTML/CSS, Build real-world projects, Understand core concepts, Apply best practices",salY_Sm6mv4,https://www.youtube.com/watch?v=salY_Sm6mv4
73,Advanced HTML/CSS,Comprehensive beginner course on HTML/CSS. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"html/css,web-development,beginner",Web Development,HTML/CSS,Beginner,Maria Garcia,"Master HTML/CSS, Build real-world projects, Understand core concepts, Apply best practices",salY_Sm6mv4,https://www.youtube.com/watch?v=salY_Sm6mv4
74,Professional Node.js,Comprehensive beginner course on Node.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"node.js,web-development,beginner",Web Development,Node.js,Beginner,Marco Rossi,"Master Node.js, Build real-world projects, Understand core concepts, Apply best practices",ENrzD9HAZK4,https://www.youtube.com/watch?v=ENrzD9HAZK4
75,React for Advanceds,Comprehensive advanced course on React. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"react,web-development,advanced",Web Development,React,Advanced,Sophie Martin,"Master React, Build real-world projects, Understand core concepts, Apply best practices",wIyHSOugGGw,https://www.youtube.com/watch?v=wIyHSOugGGw
76,Professional React,Comprehensive advanced course on React. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"react,web-development,advanced",Web Development,React,Advanced,Dr. John Smith,"Master React, Build real-world projects, Understand core concepts, Apply best practices",wIyHSOugGGw,https://www.youtube.com/watch?v=wIyHSOugGGw
77,Professional WordPress,Comprehensive beginner course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,beginner",Web Development,WordPress,Beginner,Prof. Michael Chen,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",OkQGYIMkGnE,https://www.youtube.com/watch?v=OkQGYIMkGnE
78,Vue.js Masterclass,Comprehensive beginner course on Vue.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"vue.js,web-development,beginner",Web Development,Vue.js,Beginner,Emily Rodriguez,"Master Vue.js, Build real-world projects, Understand core concepts, Apply best practices",lQtB1U02HaM,https://www.youtube.com/watch?v=lQtB1U02HaM
79,Learn Vue.js,Comprehensive advanced course on Vue.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"vue.js,web-development,advanced",Web Development,Vue.js,Advanced,Prof. Robert Taylor,"Master Vue.js, Build real-world projects, Understand core concepts, Apply best practices",xB3ZmUH6GqU,https://www.youtube.com/watch?v=xB3ZmUH6GqU
80,Vue.js Masterclass,Comprehensive advanced course on Vue.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"vue.js,web-development,advanced",Web Development,Vue.js,Advanced,Prof. Robert Taylor,"Master Vue.js, Build real-world projects, Understand core concepts, Apply best practices",xB3ZmUH6GqU,https://www.youtube.com/watch?v=xB3ZmUH6GqU
81,Complete Laravel Course,Comprehensive beginner course on Laravel. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"laravel,web-development,beginner",Web Development,Laravel,Beginner,Dr. Fatima Al-Sayed,"Master Laravel, Build real-world projects, Understand core concepts, Apply best practices",kSSjgNZ_9z8,https://www.youtube.com/watch?v=kSSjgNZ_9z8
82,Next.js Masterclass,Comprehensive advanced course on Next.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"next.js,web-development,advanced",Web Development,Next.js,Advanced,Marco Rossi,"Master Next.js, Build real-world projects, Understand core concepts, Apply best practices",LkDelp5WWYU,https://www.youtube.com/watch?v=LkDelp5WWYU
83,WordPress Fundamentals,Comprehensive intermediate course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,intermediate",Web Development,WordPress,Intermediate,Jennifer Lee,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",OkQGYIMkGnE,https://www.youtube.com/watch?v=OkQGYIMkGnE
84,Learn Flask,Comprehensive beginner course on Flask. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"flask,web-development,beginner",Web Development,Flask,Beginner,Jennifer Lee,"Master Flask, Build real-world projects, Understand core concepts, Apply best practices",WGdOkhcceBU,https://www.youtube.com/watch?v=WGdOkhcceBU
85,Angular from Scratch,Comprehensive advanced course on Angular. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"angular,web-development,advanced",Web Development,Angular,Advanced,Dr. Ahmed Hassan,"Master Angular, Build real-world projects, Understand core concepts, Apply best practices",ZszJUChxzJw,https://www.youtube.com/watch?v=ZszJUChxzJw
