quiz_id,course_id,difficulty_level,title,description,total_questions,passing_score,time_limit,created_at
19,7,Easy,Advanced C++ - Easy Quiz,"Test your easy level knowledge of Advanced C++. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
20,7,Medium,Advanced C++ - Medium Quiz,"Test your medium level knowledge of Advanced C++. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
21,7,Hard,Advanced C++ - Hard Quiz,"Test your hard level knowledge of Advanced C++. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
22,8,Easy,Learn R - Easy Quiz,"Test your easy level knowledge of Learn R. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
23,8,Medium,Learn R - Medium Quiz,"Test your medium level knowledge of Learn R. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
24,8,Hard,Learn R - Hard Quiz,"Test your hard level knowledge of Learn R. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
25,9,Easy,Rust Fundamentals - Easy Quiz,"Test your easy level knowledge of Rust Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
26,9,Medium,Rust Fundamentals - Medium Quiz,"Test your medium level knowledge of Rust Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
27,9,Hard,Rust Fundamentals - Hard Quiz,"Test your hard level knowledge of Rust Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
28,10,Easy,Complete R Course - Easy Quiz,"Test your easy level knowledge of Complete R Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
29,10,Medium,Complete R Course - Medium Quiz,"Test your medium level knowledge of Complete R Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
30,10,Hard,Complete R Course - Hard Quiz,"Test your hard level knowledge of Complete R Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
31,11,Easy,Swift Bootcamp - Easy Quiz,"Test your easy level knowledge of Swift Bootcamp. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
32,11,Medium,Swift Bootcamp - Medium Quiz,"Test your medium level knowledge of Swift Bootcamp. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
33,11,Hard,Swift Bootcamp - Hard Quiz,"Test your hard level knowledge of Swift Bootcamp. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
34,12,Easy,Ruby from Scratch - Easy Quiz,"Test your easy level knowledge of Ruby from Scratch. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
35,12,Medium,Ruby from Scratch - Medium Quiz,"Test your medium level knowledge of Ruby from Scratch. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
36,12,Hard,Ruby from Scratch - Hard Quiz,"Test your hard level knowledge of Ruby from Scratch. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
37,13,Easy,Complete TypeScript Course - Easy Quiz,"Test your easy level knowledge of Complete TypeScript Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
38,13,Medium,Complete TypeScript Course - Medium Quiz,"Test your medium level knowledge of Complete TypeScript Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
39,13,Hard,Complete TypeScript Course - Hard Quiz,"Test your hard level knowledge of Complete TypeScript Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
40,14,Easy,TypeScript Bootcamp - Easy Quiz,"Test your easy level knowledge of TypeScript Bootcamp. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
41,14,Medium,TypeScript Bootcamp - Medium Quiz,"Test your medium level knowledge of TypeScript Bootcamp. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
42,14,Hard,TypeScript Bootcamp - Hard Quiz,"Test your hard level knowledge of TypeScript Bootcamp. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
43,15,Easy,Ruby for Beginners - Easy Quiz,"Test your easy level knowledge of Ruby for Beginners. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
44,15,Medium,Ruby for Beginners - Medium Quiz,"Test your medium level knowledge of Ruby for Beginners. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
45,15,Hard,Ruby for Beginners - Hard Quiz,"Test your hard level knowledge of Ruby for Beginners. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
46,16,Easy,Complete PHP Course - Easy Quiz,"Test your easy level knowledge of Complete PHP Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
47,16,Medium,Complete PHP Course - Medium Quiz,"Test your medium level knowledge of Complete PHP Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
48,16,Hard,Complete PHP Course - Hard Quiz,"Test your hard level knowledge of Complete PHP Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
49,17,Easy,Advanced C++ - Easy Quiz,"Test your easy level knowledge of Advanced C++. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
50,17,Medium,Advanced C++ - Medium Quiz,"Test your medium level knowledge of Advanced C++. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
51,17,Hard,Advanced C++ - Hard Quiz,"Test your hard level knowledge of Advanced C++. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
52,18,Easy,Master Kotlin - Easy Quiz,"Test your easy level knowledge of Master Kotlin. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
53,18,Medium,Master Kotlin - Medium Quiz,"Test your medium level knowledge of Master Kotlin. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
54,18,Hard,Master Kotlin - Hard Quiz,"Test your hard level knowledge of Master Kotlin. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
55,19,Easy,Advanced Rust - Easy Quiz,"Test your easy level knowledge of Advanced Rust. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
56,19,Medium,Advanced Rust - Medium Quiz,"Test your medium level knowledge of Advanced Rust. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
57,19,Hard,Advanced Rust - Hard Quiz,"Test your hard level knowledge of Advanced Rust. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
58,20,Easy,Scala Masterclass - Easy Quiz,"Test your easy level knowledge of Scala Masterclass. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
59,20,Medium,Scala Masterclass - Medium Quiz,"Test your medium level knowledge of Scala Masterclass. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
60,20,Hard,Scala Masterclass - Hard Quiz,"Test your hard level knowledge of Scala Masterclass. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
61,21,Easy,PHP Fundamentals - Easy Quiz,"Test your easy level knowledge of PHP Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
62,21,Medium,PHP Fundamentals - Medium Quiz,"Test your medium level knowledge of PHP Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
63,21,Hard,PHP Fundamentals - Hard Quiz,"Test your hard level knowledge of PHP Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
64,22,Easy,Advanced JavaScript - Easy Quiz,"Test your easy level knowledge of Advanced JavaScript. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
65,22,Medium,Advanced JavaScript - Medium Quiz,"Test your medium level knowledge of Advanced JavaScript. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
66,22,Hard,Advanced JavaScript - Hard Quiz,"Test your hard level knowledge of Advanced JavaScript. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
67,23,Easy,PHP Fundamentals - Easy Quiz,"Test your easy level knowledge of PHP Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
68,23,Medium,PHP Fundamentals - Medium Quiz,"Test your medium level knowledge of PHP Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
69,23,Hard,PHP Fundamentals - Hard Quiz,"Test your hard level knowledge of PHP Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
70,24,Easy,PHP Fundamentals - Easy Quiz,"Test your easy level knowledge of PHP Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
71,24,Medium,PHP Fundamentals - Medium Quiz,"Test your medium level knowledge of PHP Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
72,24,Hard,PHP Fundamentals - Hard Quiz,"Test your hard level knowledge of PHP Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
73,25,Easy,Advanced Python - Easy Quiz,"Test your easy level knowledge of Advanced Python. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
74,25,Medium,Advanced Python - Medium Quiz,"Test your medium level knowledge of Advanced Python. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
75,25,Hard,Advanced Python - Hard Quiz,"Test your hard level knowledge of Advanced Python. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
76,26,Easy,Java Bootcamp - Easy Quiz,"Test your easy level knowledge of Java Bootcamp. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
77,26,Medium,Java Bootcamp - Medium Quiz,"Test your medium level knowledge of Java Bootcamp. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
78,26,Hard,Java Bootcamp - Hard Quiz,"Test your hard level knowledge of Java Bootcamp. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
79,27,Easy,Learn C++ - Easy Quiz,"Test your easy level knowledge of Learn C++. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
80,27,Medium,Learn C++ - Medium Quiz,"Test your medium level knowledge of Learn C++. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
81,27,Hard,Learn C++ - Hard Quiz,"Test your hard level knowledge of Learn C++. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
82,28,Easy,Advanced PHP - Easy Quiz,"Test your easy level knowledge of Advanced PHP. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
83,28,Medium,Advanced PHP - Medium Quiz,"Test your medium level knowledge of Advanced PHP. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
84,28,Hard,Advanced PHP - Hard Quiz,"Test your hard level knowledge of Advanced PHP. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
85,29,Easy,Professional JavaScript - Easy Quiz,"Test your easy level knowledge of Professional JavaScript. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
86,29,Medium,Professional JavaScript - Medium Quiz,"Test your medium level knowledge of Professional JavaScript. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
87,29,Hard,Professional JavaScript - Hard Quiz,"Test your hard level knowledge of Professional JavaScript. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
88,30,Easy,Learn Go - Easy Quiz,"Test your easy level knowledge of Learn Go. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
89,30,Medium,Learn Go - Medium Quiz,"Test your medium level knowledge of Learn Go. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
90,30,Hard,Learn Go - Hard Quiz,"Test your hard level knowledge of Learn Go. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
91,31,Easy,Ruby Fundamentals - Easy Quiz,"Test your easy level knowledge of Ruby Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
92,31,Medium,Ruby Fundamentals - Medium Quiz,"Test your medium level knowledge of Ruby Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
93,31,Hard,Ruby Fundamentals - Hard Quiz,"Test your hard level knowledge of Ruby Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
94,32,Easy,Complete JavaScript Course - Easy Quiz,"Test your easy level knowledge of Complete JavaScript Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
95,32,Medium,Complete JavaScript Course - Medium Quiz,"Test your medium level knowledge of Complete JavaScript Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
96,32,Hard,Complete JavaScript Course - Hard Quiz,"Test your hard level knowledge of Complete JavaScript Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
97,33,Easy,Master R - Easy Quiz,"Test your easy level knowledge of Master R. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
98,33,Medium,Master R - Medium Quiz,"Test your medium level knowledge of Master R. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
99,33,Hard,Master R - Hard Quiz,"Test your hard level knowledge of Master R. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
100,34,Easy,PHP Masterclass - Easy Quiz,"Test your easy level knowledge of PHP Masterclass. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
101,34,Medium,PHP Masterclass - Medium Quiz,"Test your medium level knowledge of PHP Masterclass. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
102,34,Hard,PHP Masterclass - Hard Quiz,"Test your hard level knowledge of PHP Masterclass. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
103,35,Easy,Java Masterclass - Easy Quiz,"Test your easy level knowledge of Java Masterclass. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
104,35,Medium,Java Masterclass - Medium Quiz,"Test your medium level knowledge of Java Masterclass. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
105,35,Hard,Java Masterclass - Hard Quiz,"Test your hard level knowledge of Java Masterclass. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
106,36,Easy,Computer Vision for Intermediates - Easy Quiz,"Test your easy level knowledge of Computer Vision for Intermediates. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
107,36,Medium,Computer Vision for Intermediates - Medium Quiz,"Test your medium level knowledge of Computer Vision for Intermediates. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
108,36,Hard,Computer Vision for Intermediates - Hard Quiz,"Test your hard level knowledge of Computer Vision for Intermediates. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
109,37,Easy,Advanced Data Analysis - Easy Quiz,"Test your easy level knowledge of Advanced Data Analysis. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
110,37,Medium,Advanced Data Analysis - Medium Quiz,"Test your medium level knowledge of Advanced Data Analysis. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
111,37,Hard,Advanced Data Analysis - Hard Quiz,"Test your hard level knowledge of Advanced Data Analysis. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
112,38,Easy,Learn Big Data - Easy Quiz,"Test your easy level knowledge of Learn Big Data. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
113,38,Medium,Learn Big Data - Medium Quiz,"Test your medium level knowledge of Learn Big Data. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
114,38,Hard,Learn Big Data - Hard Quiz,"Test your hard level knowledge of Learn Big Data. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
115,39,Easy,Advanced Deep Learning - Easy Quiz,"Test your easy level knowledge of Advanced Deep Learning. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
116,39,Medium,Advanced Deep Learning - Medium Quiz,"Test your medium level knowledge of Advanced Deep Learning. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
117,39,Hard,Advanced Deep Learning - Hard Quiz,"Test your hard level knowledge of Advanced Deep Learning. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
118,40,Easy,Complete Computer Vision Course - Easy Quiz,"Test your easy level knowledge of Complete Computer Vision Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
119,40,Medium,Complete Computer Vision Course - Medium Quiz,"Test your medium level knowledge of Complete Computer Vision Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
120,40,Hard,Complete Computer Vision Course - Hard Quiz,"Test your hard level knowledge of Complete Computer Vision Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
121,41,Easy,Statistics Masterclass - Easy Quiz,"Test your easy level knowledge of Statistics Masterclass. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
122,41,Medium,Statistics Masterclass - Medium Quiz,"Test your medium level knowledge of Statistics Masterclass. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
123,41,Hard,Statistics Masterclass - Hard Quiz,"Test your hard level knowledge of Statistics Masterclass. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
124,42,Easy,Master AI - Easy Quiz,"Test your easy level knowledge of Master AI. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
125,42,Medium,Master AI - Medium Quiz,"Test your medium level knowledge of Master AI. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
126,42,Hard,Master AI - Hard Quiz,"Test your hard level knowledge of Master AI. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
127,43,Easy,Computer Vision Masterclass - Easy Quiz,"Test your easy level knowledge of Computer Vision Masterclass. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
128,43,Medium,Computer Vision Masterclass - Medium Quiz,"Test your medium level knowledge of Computer Vision Masterclass. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
129,43,Hard,Computer Vision Masterclass - Hard Quiz,"Test your hard level knowledge of Computer Vision Masterclass. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
130,44,Easy,Complete Big Data Course - Easy Quiz,"Test your easy level knowledge of Complete Big Data Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
131,44,Medium,Complete Big Data Course - Medium Quiz,"Test your medium level knowledge of Complete Big Data Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
132,44,Hard,Complete Big Data Course - Hard Quiz,"Test your hard level knowledge of Complete Big Data Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
133,45,Easy,Big Data for Intermediates - Easy Quiz,"Test your easy level knowledge of Big Data for Intermediates. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
134,45,Medium,Big Data for Intermediates - Medium Quiz,"Test your medium level knowledge of Big Data for Intermediates. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
135,45,Hard,Big Data for Intermediates - Hard Quiz,"Test your hard level knowledge of Big Data for Intermediates. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
136,46,Easy,Complete AI Course - Easy Quiz,"Test your easy level knowledge of Complete AI Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
137,46,Medium,Complete AI Course - Medium Quiz,"Test your medium level knowledge of Complete AI Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
138,46,Hard,Complete AI Course - Hard Quiz,"Test your hard level knowledge of Complete AI Course. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
139,47,Easy,Master NLP - Easy Quiz,"Test your easy level knowledge of Master NLP. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
140,47,Medium,Master NLP - Medium Quiz,"Test your medium level knowledge of Master NLP. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
141,47,Hard,Master NLP - Hard Quiz,"Test your hard level knowledge of Master NLP. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
142,48,Easy,Professional Deep Learning - Easy Quiz,"Test your easy level knowledge of Professional Deep Learning. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
143,48,Medium,Professional Deep Learning - Medium Quiz,"Test your medium level knowledge of Professional Deep Learning. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
144,48,Hard,Professional Deep Learning - Hard Quiz,"Test your hard level knowledge of Professional Deep Learning. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
145,49,Easy,Deep Learning Masterclass - Easy Quiz,"Test your easy level knowledge of Deep Learning Masterclass. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
146,49,Medium,Deep Learning Masterclass - Medium Quiz,"Test your medium level knowledge of Deep Learning Masterclass. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
147,49,Hard,Deep Learning Masterclass - Hard Quiz,"Test your hard level knowledge of Deep Learning Masterclass. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
148,50,Easy,Data Visualization Fundamentals - Easy Quiz,"Test your easy level knowledge of Data Visualization Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
149,50,Medium,Data Visualization Fundamentals - Medium Quiz,"Test your medium level knowledge of Data Visualization Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
150,50,Hard,Data Visualization Fundamentals - Hard Quiz,"Test your hard level knowledge of Data Visualization Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
151,51,Easy,Statistics from Scratch - Easy Quiz,"Test your easy level knowledge of Statistics from Scratch. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
152,51,Medium,Statistics from Scratch - Medium Quiz,"Test your medium level knowledge of Statistics from Scratch. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
153,51,Hard,Statistics from Scratch - Hard Quiz,"Test your hard level knowledge of Statistics from Scratch. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
154,52,Easy,Computer Vision Fundamentals - Easy Quiz,"Test your easy level knowledge of Computer Vision Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
155,52,Medium,Computer Vision Fundamentals - Medium Quiz,"Test your medium level knowledge of Computer Vision Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
156,52,Hard,Computer Vision Fundamentals - Hard Quiz,"Test your hard level knowledge of Computer Vision Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
157,53,Easy,AI for Beginners - Easy Quiz,"Test your easy level knowledge of AI for Beginners. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
158,53,Medium,AI for Beginners - Medium Quiz,"Test your medium level knowledge of AI for Beginners. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
159,53,Hard,AI for Beginners - Hard Quiz,"Test your hard level knowledge of AI for Beginners. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
160,54,Easy,Computer Vision Fundamentals - Easy Quiz,"Test your easy level knowledge of Computer Vision Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
161,54,Medium,Computer Vision Fundamentals - Medium Quiz,"Test your medium level knowledge of Computer Vision Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
162,54,Hard,Computer Vision Fundamentals - Hard Quiz,"Test your hard level knowledge of Computer Vision Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
163,55,Easy,Machine Learning Fundamentals - Easy Quiz,"Test your easy level knowledge of Machine Learning Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
164,55,Medium,Machine Learning Fundamentals - Medium Quiz,"Test your medium level knowledge of Machine Learning Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
165,55,Hard,Machine Learning Fundamentals - Hard Quiz,"Test your hard level knowledge of Machine Learning Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
166,56,Easy,Complete Data Analysis Course - Easy Quiz,"Test your easy level knowledge of Complete Data Analysis Course. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
167,56,Medium,Complete Data Analysis Course - Medium Quiz,"Test your medium level knowledge of Complete Data Analysis Course. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
